Date,ADANIPORTS.NS,AMBUJACEM.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BHARTIARTL.NS,INFRATEL.NS,BOSCHLTD.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,HPCL.NS,ICICIBANK.NS,IBULHSGFIN.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TECHM.NS,ULTRACEMCO.NS,UPL.NS,VEDL.NS,WIPRO.NS,YESBANK.NS,ZEEL.NS
2000-01-21,,,,10.149199,0.940082,,,,,,0.480373,57.798084,,331.140839,44.580849,14.614343,,,22.039591,,20.120155,156.999008,2.107538,,,,42.285667,2.91158,0.000947,,,,7.34991,,,0.104885,,21.32654,1.063086,1.972095,,14.390301999999998,0.127019,44.581062,,,,6.1e-05,57.524738,,
2000-01-24,,,,9.339993,0.951409,,,,,,0.462032,58.322605,,324.631134,42.219643,14.590868,,,23.492104,,19.451889,158.87208600000002,2.167504,,,,43.730537,2.878727,0.000903,,,,6.87818,,,0.10549,,21.313484,1.0221209999999998,2.070013,,13.240699,0.126075,41.492786,,,,6e-05,62.127178,,
2000-01-25,,,,9.162454,0.936307,,,,,,0.453381,57.47085600000001,,310.298798,40.140385,14.21524,,,25.372177,,18.448925,157.242371,2.144781,,,,44.45713,2.764327,0.000831,,,,6.7786149999999985,,,0.104088,,20.908319,1.006676,2.118909,,12.18405,0.136196,40.751606,,,,5.8e-05,67.098267,,
2000-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-27,,,,9.364202,1.004265,,,,,,0.47595,57.278378,,313.820404,40.210869,14.273932,,,26.906691,,18.863152,157.710693,2.1712860000000003,,,,46.574924,2.832288,0.0008869999999999998,,,,6.672381,,,0.112418,,21.888557,1.030401,2.039986,,11.211061,0.13430899999999998,40.710388,,,,5.8e-05,72.466103,,
2000-01-28,,,,9.323483,1.083549,,,,,,0.488112,56.9632,,304.97406,39.047882,14.28567,,,26.695845,,18.554955,155.498672,2.141622,,,,47.966354,2.820959,0.000819,,,,6.83007,,,0.11294,,22.110716,1.112558,2.10201,,10.857808,0.140227,39.667248,,,,5.7e-05,78.26377099999998,,
2000-01-31,,,,8.615155,1.168496,,,,,,0.497153,56.450703,,291.719849,36.33427,13.733963,,,27.849655,,17.071486,150.33853100000005,2.144781,,,,45.509571,2.800007,0.000788,,,,6.785307,,,0.115305,,21.444191,1.0955469999999998,2.113239,,11.136679,0.141342,38.253521,,,,5.2e-05,73.21186800000002,,
2000-02-01,,,,8.711994,1.260994,,,,,,0.492926,58.68350600000001,,298.858765,36.228542,13.757443,,,28.224497,,17.302351,143.35763500000004,2.162453,,,,46.742889,2.824357,0.000799,,,,6.440531,,,0.118274,,21.829733,1.103604,2.282341,,10.863984,0.137139,38.569183,,,,5.2e-05,79.06884000000002,,
2000-02-02,,,,9.145946,1.361043,,,,,,0.520696,61.154518,,319.295258,39.15361400000001,14.332623000000002,,,28.581772,,18.686419,148.302216,2.335396,,,,46.417622,2.971609,0.000813,,,,6.95635,,,0.118026,,22.228374,1.108079,2.464784,,11.161483,0.139712,38.720173,,,,5.400000000000001e-05,85.394501,,
2000-02-03,,,,9.090924,1.468642,,,,,,0.496633,59.833603,,318.088989,41.479568,14.309147,,,26.467424,,19.293926000000006,150.209091,2.522228,,,,46.890324,2.939327,0.000808,,,,6.938314,,,0.115305,,22.326397,1.158671,2.4138900000000003,,10.991049,0.136196,38.43193400000001,,,,5.400000000000001e-05,92.225807,,
